input_id,frame_id,ts,frame_ts,state,pose_valid,imu_initialized,map_id,reset_epoch,map_create_epoch,map_change_index,big_change_index,context_changed,last_reloc_id,last_init_id,n_kps,n_associated,n_inlier_observed,n_outlier_associated,n_depth_valid,depth_valid_fraction,n_reproj,reproj_median_px,reproj_p90_px,reproj_mean_px,mean_observations,inlier_grid_coverage,is_kf,n_local_mps,n_local_kfs,imu_rotation_residual_rad,imu_dt,imu_interval_valid,track_core_ms,logger_ms,px,py,pz,qx,qy,qz,qw
62,62,1413393889.105760574341,1413393889.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.048183000000,0.002013000000,nan,nan,nan,nan,nan,nan,nan
63,63,1413393889.155760288239,1413393889.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.958060000000,0.001768000000,nan,nan,nan,nan,nan,nan,nan
64,64,1413393889.205760478973,1413393889.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.934925000000,0.001487000000,nan,nan,nan,nan,nan,nan,nan
65,65,1413393889.255760431290,1413393889.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.967850000000,0.001468000000,nan,nan,nan,nan,nan,nan,nan
66,66,1413393889.305760622025,1413393889.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.907979000000,0.001308000000,nan,nan,nan,nan,nan,nan,nan
67,67,1413393889.355760335922,1413393889.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.544204000000,0.002073000000,nan,nan,nan,nan,nan,nan,nan
68,68,1413393889.405760526657,1413393889.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.017770000000,0.001878000000,nan,nan,nan,nan,nan,nan,nan
69,69,1413393889.455760478973,1413393889.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.877679000000,0.002292000000,nan,nan,nan,nan,nan,nan,nan
70,70,1413393889.505760431290,1413393889.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.796534000000,0.001346000000,nan,nan,nan,nan,nan,nan,nan
71,71,1413393889.555760383606,1413393889.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.101728000000,0.001607000000,nan,nan,nan,nan,nan,nan,nan
72,72,1413393889.605760574341,1413393889.605760574341,2,1,0,0,0,0,0,0,0,0,-1,1202,464,464,0,464,0.386023294509,464,0.000000000000,0.000021579186,0.000007238730,2.000000000000,0.666666666667,0,464,1,nan,nan,0,2.222056000000,0.063235000000,0.000000022352,0.000000003725,0.000000000000,-0.000000000057,-0.000000001326,-0.000000091627,1.000000000000
73,73,1413393889.655760288239,1413393889.655760288239,2,1,0,0,0,0,0,0,0,0,-1,1205,342,342,0,481,0.399170124481,342,1.077370973593,2.548973666112,1.379895708439,2.000000000000,0.562500000000,0,464,1,nan,nan,0,12.760401000000,0.051964000000,0.002865446266,-0.002134418814,-0.002604671754,-0.006806699559,0.001719660941,-0.001537804957,0.999974191189
74,74,1413393889.705760478973,1413393889.705760478973,2,1,0,0,0,0,0,0,0,0,-1,1198,327,327,0,567,0.473288814691,327,1.108462358724,2.639740496013,1.380013345500,2.000000000000,0.520833333333,0,464,1,nan,nan,0,3.127765000000,0.071753000000,0.003374598688,-0.005761383567,-0.004233090207,-0.011129809543,0.004344332498,-0.005779001396,0.999911904335
75,75,1413393889.755760431290,1413393889.755760431290,2,1,0,0,0,0,0,0,0,0,-1,1203,357,357,0,682,0.566916043225,357,1.038349812919,2.542868253195,1.281981634205,2.000000000000,0.520833333333,0,464,1,nan,nan,0,3.089134000000,0.066773000000,0.004023741465,-0.013781970367,-0.006496284623,-0.016705239192,0.006950448267,-0.010008654557,0.999786198139
76,76,1413393889.805760622025,1413393889.805760622025,2,1,0,0,0,0,0,0,0,0,-1,1200,379,379,0,776,0.646666666667,379,1.161661040051,2.647313815992,1.397476714236,2.000000000000,0.520833333333,0,464,1,nan,nan,0,3.146930000000,0.055196000000,0.006955208257,-0.025597807020,-0.011442087591,-0.019688047469,0.008869059384,-0.013332409784,0.999677956104
77,77,1413393889.855760335922,1413393889.855760335922,2,1,0,0,0,0,0,0,0,0,-1,1200,368,368,0,811,0.675833333333,368,1.235491634323,2.863435009168,1.470286097087,2.000000000000,0.500000000000,0,464,1,nan,nan,0,2.975276000000,0.062657000000,0.007840723731,-0.041116084903,-0.013091344386,-0.022394649684,0.011473494582,-0.019215313718,0.999498665333
78,78,1413393889.905760526657,1413393889.905760526657,2,1,0,0,0,0,0,0,0,0,-1,1195,823,823,0,844,0.706276150628,823,0.000031456800,2.202000558109,0.651977294012,2.000000000000,0.729166666667,1,464,1,nan,nan,0,3.413120000000,0.093408000000,0.009787065908,-0.060866132379,-0.017401395366,-0.022352363914,0.013854335062,-0.025596631691,0.999326407909
79,79,1413393889.955760478973,1413393889.955760478973,2,1,0,0,0,0,0,0,0,0,-1,1196,619,619,0,904,0.755852842809,619,1.223982786803,3.143218106565,1.549492428873,3.045234248788,0.645833333333,0,842,2,nan,nan,0,5.403824000000,0.080063000000,0.009483141825,-0.085545741022,-0.020813718438,-0.018313663080,0.016626594588,-0.032147921622,0.999177038670
80,80,1413393890.005760431290,1413393890.005760431290,2,1,0,0,0,0,0,0,0,0,-1,1201,557,557,0,794,0.661115736886,557,1.453200943626,3.244058127651,1.702109601837,3.077199281867,0.666666666667,0,842,2,nan,nan,0,5.022296000000,0.080456000000,0.009573053569,-0.116008110344,-0.026106800884,-0.012530815788,0.018235279247,-0.038367088884,0.999018728733
81,81,1413393890.055760383606,1413393890.055760383606,2,1,0,0,0,0,0,0,0,0,-1,1200,528,528,0,918,0.765000000000,528,1.585096759376,3.543440641602,1.858513526352,3.109848484848,0.604166666667,0,842,2,nan,nan,0,5.023316000000,0.112191000000,0.003751913551,-0.147293835878,-0.028035037220,-0.006867803168,0.019136350602,-0.038228161633,0.999062180519
82,82,1413393890.105760574341,1413393890.105760574341,2,1,0,0,0,0,0,0,0,0,-1,1202,493,493,0,943,0.784525790349,493,1.597196262101,3.861259109704,1.957114230274,3.109533468560,0.520833333333,0,842,2,nan,nan,0,4.563047000000,0.076148000000,-0.004381100647,-0.184785306454,-0.029586164281,-0.002944491804,0.018163099885,-0.033826921135,0.999258339405
83,83,1413393890.155760288239,1413393890.155760288239,2,1,0,0,0,0,0,0,0,0,-1,1200,450,450,0,907,0.755833333333,450,1.669249451080,4.224475767252,2.065686260186,3.140000000000,0.520833333333,0,842,2,nan,nan,0,4.553499000000,0.063021000000,-0.008684234694,-0.221165224910,-0.032704971731,0.001161500462,0.016162021086,-0.028818873689,0.999453306198
84,84,1413393890.205760478973,1413393890.205760478973,2,1,0,0,0,0,0,0,0,0,-1,1200,763,763,0,901,0.750833333333,763,0.500640913787,3.212264618430,1.136089899575,2.618610747051,0.645833333333,1,842,2,nan,nan,0,4.984178000000,0.094915000000,-0.018324853852,-0.254692703485,-0.032635949552,0.003251096699,0.014761205763,-0.023431599140,0.999611198902
85,85,1413393890.255760431290,1413393890.255760431290,2,1,0,0,0,0,1,0,0,0,-1,1200,671,671,0,910,0.758333333333,671,1.182932354553,2.991125576554,1.507962731814,4.146050670641,0.604166666667,0,989,3,nan,nan,0,5.867488000000,0.087905000000,-0.036578971893,-0.284977823496,-0.024026669562,0.005108424928,0.014714211226,-0.018912721425,0.999699831009
86,86,1413393890.305760622025,1413393890.305760622025,2,1,0,0,0,0,1,0,0,0,-1,1200,604,604,0,875,0.729166666667,604,1.181285512344,2.749395471720,1.450969383224,4.157284768212,0.541666666667,0,989,3,nan,nan,0,5.634289000000,0.086490000000,-0.047538772225,-0.304119378328,-0.020183615386,0.006652105134,0.013605625369,-0.014270858839,0.999783456326
87,87,1413393890.355760335922,1413393890.355760335922,2,1,0,0,0,0,1,0,0,0,-1,1201,587,587,0,879,0.731890091590,587,1.214845878229,3.142150323668,1.559780439288,4.149914821124,0.541666666667,0,989,3,nan,nan,0,6.793275000000,0.081490000000,-0.058679066598,-0.319608360529,-0.015420773067,0.006943307817,0.012669958174,-0.010919368826,0.999836027622
88,88,1413393890.405760526657,1413393890.405760526657,2,1,0,0,0,0,1,0,0,0,-1,1201,541,541,0,881,0.733555370525,541,1.402197790470,3.294744773429,1.729397056043,4.166358595194,0.541666666667,0,989,3,nan,nan,0,5.358909000000,0.078275000000,-0.069855250418,-0.332060396671,-0.008345616981,0.006959584076,0.011650466360,-0.007894669659,0.999876797199
89,89,1413393890.455760478973,1413393890.455760478973,2,1,0,0,0,0,1,0,0,0,-1,1202,814,814,0,897,0.746256239601,814,0.865760720981,2.634777682409,1.127945358847,3.434889434889,0.541666666667,1,989,3,nan,nan,0,5.984836000000,0.110127000000,-0.085013329983,-0.334916919470,0.002140054945,0.010633515194,0.011364856735,-0.004339122213,0.999869465828
90,90,1413393890.505760431290,1413393890.505760431290,2,1,0,0,0,0,2,0,0,0,-1,1201,652,652,0,909,0.756869275604,652,1.184734160123,2.612727909838,1.401943365231,5.509202453988,0.541666666667,0,899,4,nan,nan,0,5.844215000000,0.089431000000,-0.094543166459,-0.336418390274,0.008849071339,0.018851635978,0.009927154519,-0.001485114335,0.999771952629
91,91,1413393890.555760383606,1413393890.555760383606,2,1,0,0,0,0,2,0,0,0,-1,1201,619,619,0,890,0.741049125729,619,1.156811386188,3.045647748560,1.502068196523,5.591276252019,0.583333333333,0,899,4,nan,nan,0,6.428382000000,0.085503000000,-0.106066137552,-0.340326249599,0.016280960292,0.030068624765,0.008802991360,0.001205683802,0.999508380890
92,92,1413393890.605760574341,1413393890.605760574341,2,1,0,0,0,0,2,0,0,0,-1,1201,596,596,0,857,0.713572023314,596,1.235331320250,3.223593142388,1.587072556303,5.516778523490,0.562500000000,0,899,4,nan,nan,0,5.315152000000,0.086403000000,-0.118214733899,-0.343892365694,0.025575764477,0.039282508194,0.009172590449,0.001516800141,0.999184906483
93,93,1413393890.655760288239,1413393890.655760288239,2,1,0,0,0,0,2,0,0,0,-1,1201,544,544,0,815,0.678601165695,544,1.244572315280,3.127314053596,1.605135881395,5.590073529412,0.583333333333,0,899,4,nan,nan,0,6.122217000000,0.076997000000,-0.130261287093,-0.346961557865,0.031366538256,0.040811292827,0.009577861987,0.000389789115,0.999120891094
94,94,1413393890.705760478973,1413393890.705760478973,2,1,0,0,0,0,2,0,0,0,-1,1202,766,766,0,835,0.694675540765,766,0.843158397500,2.668293333934,1.090537750876,4.484334203655,0.645833333333,1,899,4,nan,nan,0,5.460583000000,0.099279000000,-0.140768453479,-0.351841747761,0.034230917692,0.035896353424,0.009957766160,-0.001306677819,0.999305069447
