input_id,frame_id,ts,frame_ts,state,pose_valid,imu_initialized,map_id,reset_epoch,map_create_epoch,map_change_index,big_change_index,context_changed,last_reloc_id,last_init_id,n_kps,n_associated,n_inlier_observed,n_outlier_associated,n_depth_valid,depth_valid_fraction,n_reproj,reproj_median_px,reproj_p90_px,reproj_mean_px,mean_observations,inlier_grid_coverage,is_kf,n_local_mps,n_local_kfs,imu_rotation_residual_rad,imu_dt,imu_interval_valid,track_core_ms,logger_ms,px,py,pz,qx,qy,qz,qw
13,13,1413393886.655760288239,1413393886.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.984626000000,0.015884000000,nan,nan,nan,nan,nan,nan,nan
14,14,1413393886.705760478973,1413393886.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.818348000000,0.017208000000,nan,nan,nan,nan,nan,nan,nan
15,15,1413393886.755760431290,1413393886.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.733669000000,0.014682000000,nan,nan,nan,nan,nan,nan,nan
16,16,1413393886.805760622025,1413393886.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.840885000000,0.015431000000,nan,nan,nan,nan,nan,nan,nan
17,17,1413393886.855760335922,1413393886.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.789421000000,0.016517000000,nan,nan,nan,nan,nan,nan,nan
18,18,1413393886.905760526657,1413393886.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.894219000000,0.014914000000,nan,nan,nan,nan,nan,nan,nan
19,19,1413393886.955760478973,1413393886.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.786078000000,0.016250000000,nan,nan,nan,nan,nan,nan,nan
20,20,1413393887.005760431290,1413393887.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.419210000000,0.016262000000,nan,nan,nan,nan,nan,nan,nan
21,21,1413393887.055760383606,1413393887.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.102313000000,0.016196000000,nan,nan,nan,nan,nan,nan,nan
22,22,1413393887.105760574341,1413393887.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.941871000000,0.014985000000,nan,nan,nan,nan,nan,nan,nan
23,23,1413393887.155760288239,1413393887.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.861073000000,0.016292000000,nan,nan,nan,nan,nan,nan,nan
24,24,1413393887.205760478973,1413393887.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.856049000000,0.015658000000,nan,nan,nan,nan,nan,nan,nan
25,25,1413393887.255760431290,1413393887.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.886343000000,0.016160000000,nan,nan,nan,nan,nan,nan,nan
26,26,1413393887.305760622025,1413393887.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.029997000000,0.014867000000,nan,nan,nan,nan,nan,nan,nan
27,27,1413393887.355760335922,1413393887.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.880253000000,0.016752000000,nan,nan,nan,nan,nan,nan,nan
28,28,1413393887.405760526657,1413393887.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.023796000000,0.015539000000,nan,nan,nan,nan,nan,nan,nan
29,29,1413393887.455760478973,1413393887.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.784895000000,0.015751000000,nan,nan,nan,nan,nan,nan,nan
30,30,1413393887.505760431290,1413393887.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.018939000000,0.015578000000,nan,nan,nan,nan,nan,nan,nan
31,31,1413393887.555760383606,1413393887.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1198,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.772544000000,0.015683000000,nan,nan,nan,nan,nan,nan,nan
32,32,1413393887.605760574341,1413393887.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.065462000000,0.017224000000,nan,nan,nan,nan,nan,nan,nan
33,33,1413393887.655760288239,1413393887.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.415209000000,0.016717000000,nan,nan,nan,nan,nan,nan,nan
34,34,1413393887.705760478973,1413393887.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.265989000000,0.016693000000,nan,nan,nan,nan,nan,nan,nan
35,35,1413393887.755760431290,1413393887.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.864330000000,0.016255000000,nan,nan,nan,nan,nan,nan,nan
36,36,1413393887.805760622025,1413393887.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.108970000000,0.016426000000,nan,nan,nan,nan,nan,nan,nan
37,37,1413393887.855760335922,1413393887.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.883425000000,0.015482000000,nan,nan,nan,nan,nan,nan,nan
38,38,1413393887.905760526657,1413393887.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.735371000000,0.015897000000,nan,nan,nan,nan,nan,nan,nan
39,39,1413393887.955760478973,1413393887.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.878777000000,0.015714000000,nan,nan,nan,nan,nan,nan,nan
40,40,1413393888.005760431290,1413393888.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.964584000000,0.015960000000,nan,nan,nan,nan,nan,nan,nan
41,41,1413393888.055760383606,1413393888.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1200,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.090133000000,0.016042000000,nan,nan,nan,nan,nan,nan,nan
42,42,1413393888.105760574341,1413393888.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.514505000000,0.017169000000,nan,nan,nan,nan,nan,nan,nan
43,43,1413393888.155760288239,1413393888.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.838435000000,0.016055000000,nan,nan,nan,nan,nan,nan,nan
44,44,1413393888.205760478973,1413393888.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1205,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.809596000000,0.016255000000,nan,nan,nan,nan,nan,nan,nan
45,45,1413393888.255760431290,1413393888.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.966710000000,0.015686000000,nan,nan,nan,nan,nan,nan,nan
46,46,1413393888.305760622025,1413393888.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.787588000000,0.015152000000,nan,nan,nan,nan,nan,nan,nan
47,47,1413393888.355760335922,1413393888.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.952695000000,0.016346000000,nan,nan,nan,nan,nan,nan,nan
48,48,1413393888.405760526657,1413393888.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.054607000000,0.015913000000,nan,nan,nan,nan,nan,nan,nan
49,49,1413393888.455760478973,1413393888.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.325264000000,0.016654000000,nan,nan,nan,nan,nan,nan,nan
50,50,1413393888.505760431290,1413393888.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1199,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.667849000000,0.018228000000,nan,nan,nan,nan,nan,nan,nan
51,51,1413393888.555760383606,1413393888.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.989661000000,0.016247000000,nan,nan,nan,nan,nan,nan,nan
52,52,1413393888.605760574341,1413393888.605760574341,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.290746000000,0.016789000000,nan,nan,nan,nan,nan,nan,nan
53,53,1413393888.655760288239,1413393888.655760288239,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.862288000000,0.016063000000,nan,nan,nan,nan,nan,nan,nan
54,54,1413393888.705760478973,1413393888.705760478973,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,3.329283000000,0.019190000000,nan,nan,nan,nan,nan,nan,nan
55,55,1413393888.755760431290,1413393888.755760431290,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.155515000000,0.020192000000,nan,nan,nan,nan,nan,nan,nan
56,56,1413393888.805760622025,1413393888.805760622025,1,0,0,0,0,0,0,0,0,0,-1,1206,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.931747000000,0.015089000000,nan,nan,nan,nan,nan,nan,nan
57,57,1413393888.855760335922,1413393888.855760335922,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.019422000000,0.017025000000,nan,nan,nan,nan,nan,nan,nan
58,58,1413393888.905760526657,1413393888.905760526657,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.075406000000,0.016123000000,nan,nan,nan,nan,nan,nan,nan
59,59,1413393888.955760478973,1413393888.955760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.139160000000,0.038120000000,nan,nan,nan,nan,nan,nan,nan
60,60,1413393889.005760431290,1413393889.005760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.930190000000,0.016139000000,nan,nan,nan,nan,nan,nan,nan
61,61,1413393889.055760383606,1413393889.055760383606,1,0,0,0,0,0,0,0,0,0,-1,1200,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.912089000000,0.015299000000,nan,nan,nan,nan,nan,nan,nan
62,62,1413393889.105760574341,1413393889.105760574341,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.998376000000,0.015904000000,nan,nan,nan,nan,nan,nan,nan
63,63,1413393889.155760288239,1413393889.155760288239,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.543508000000,0.018117000000,nan,nan,nan,nan,nan,nan,nan
64,64,1413393889.205760478973,1413393889.205760478973,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.034591000000,0.016326000000,nan,nan,nan,nan,nan,nan,nan
65,65,1413393889.255760431290,1413393889.255760431290,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.797738000000,0.016820000000,nan,nan,nan,nan,nan,nan,nan
66,66,1413393889.305760622025,1413393889.305760622025,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.004570000000,0.015275000000,nan,nan,nan,nan,nan,nan,nan
67,67,1413393889.355760335922,1413393889.355760335922,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.299085000000,0.017347000000,nan,nan,nan,nan,nan,nan,nan
68,68,1413393889.405760526657,1413393889.405760526657,1,0,0,0,0,0,0,0,0,0,-1,1202,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.388993000000,0.015247000000,nan,nan,nan,nan,nan,nan,nan
69,69,1413393889.455760478973,1413393889.455760478973,1,0,0,0,0,0,0,0,0,0,-1,1204,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.792073000000,0.014998000000,nan,nan,nan,nan,nan,nan,nan
70,70,1413393889.505760431290,1413393889.505760431290,1,0,0,0,0,0,0,0,0,0,-1,1201,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,0.938381000000,0.016530000000,nan,nan,nan,nan,nan,nan,nan
71,71,1413393889.555760383606,1413393889.555760383606,1,0,0,0,0,0,0,0,0,0,-1,1203,0,0,0,0,nan,0,nan,nan,nan,nan,nan,0,0,0,nan,nan,0,1.281477000000,0.016419000000,nan,nan,nan,nan,nan,nan,nan
72,72,1413393889.605760574341,1413393889.605760574341,2,1,0,0,0,0,0,0,0,0,-1,1202,464,464,0,464,0.386023294509,464,0.000000000000,0.000021579186,0.000007238730,2.000000000000,0.666666666667,0,464,1,nan,nan,0,2.198008000000,0.064686000000,0.000000022352,0.000000003725,0.000000000000,-0.000000000057,-0.000000001326,-0.000000091627,1.000000000000
73,73,1413393889.655760288239,1413393889.655760288239,2,1,0,0,0,0,0,0,0,0,-1,1205,342,342,0,481,0.399170124481,342,1.077370973593,2.548973666112,1.379895708439,2.000000000000,0.562500000000,0,464,1,nan,nan,0,8.700944000000,0.074036000000,0.002865446266,-0.002134418814,-0.002604671754,-0.006806699559,0.001719660941,-0.001537804957,0.999974191189
74,74,1413393889.705760478973,1413393889.705760478973,2,1,0,0,0,0,0,0,0,0,-1,1198,327,327,0,567,0.473288814691,327,1.108462358724,2.639740496013,1.380013345500,2.000000000000,0.520833333333,0,464,1,nan,nan,0,2.908082000000,0.123299000000,0.003374598688,-0.005761383567,-0.004233090207,-0.011129809543,0.004344332498,-0.005779001396,0.999911904335
75,75,1413393889.755760431290,1413393889.755760431290,2,1,0,0,0,0,0,0,0,0,-1,1203,357,357,0,682,0.566916043225,357,1.038349812919,2.542868253195,1.281981634205,2.000000000000,0.520833333333,0,464,1,nan,nan,0,2.841277000000,0.070723000000,0.004023741465,-0.013781970367,-0.006496284623,-0.016705239192,0.006950448267,-0.010008654557,0.999786198139
76,76,1413393889.805760622025,1413393889.805760622025,2,1,0,0,0,0,0,0,0,0,-1,1200,379,379,0,776,0.646666666667,379,1.161661040051,2.647313815992,1.397476714236,2.000000000000,0.520833333333,0,464,1,nan,nan,0,3.338328000000,0.083901000000,0.006955208257,-0.025597807020,-0.011442087591,-0.019688047469,0.008869059384,-0.013332409784,0.999677956104
77,77,1413393889.855760335922,1413393889.855760335922,2,1,0,0,0,0,0,0,0,0,-1,1200,368,368,0,811,0.675833333333,368,1.235491634323,2.863435009168,1.470286097087,2.000000000000,0.500000000000,0,464,1,nan,nan,0,3.011914000000,0.065177000000,0.007840723731,-0.041116084903,-0.013091344386,-0.022394649684,0.011473494582,-0.019215313718,0.999498665333
78,78,1413393889.905760526657,1413393889.905760526657,2,1,0,0,0,0,0,0,0,0,-1,1195,823,823,0,844,0.706276150628,823,0.000031456800,2.202000558109,0.651977294012,2.000000000000,0.729166666667,1,464,1,nan,nan,0,3.498365000000,0.132279000000,0.009787065908,-0.060866132379,-0.017401395366,-0.022352363914,0.013854335062,-0.025596631691,0.999326407909
79,79,1413393889.955760478973,1413393889.955760478973,2,1,0,0,0,0,0,0,0,0,-1,1196,641,641,0,904,0.755852842809,641,1.195636830806,3.050440245972,1.543005631869,3.063962558502,0.645833333333,0,842,2,nan,nan,0,5.909408000000,0.091770000000,0.009854828939,-0.085513375700,-0.020682297647,-0.018292630091,0.016585836187,-0.032090459019,0.999179959297
80,80,1413393890.005760431290,1413393890.005760431290,2,1,0,0,0,0,0,0,0,0,-1,1201,565,565,0,794,0.661115736886,565,1.457546933554,3.234841770024,1.690658373659,3.083185840708,0.666666666667,0,842,2,nan,nan,0,4.831512000000,0.083742000000,0.009546793997,-0.115482978523,-0.025176325813,-0.012522122823,0.018285706639,-0.038456551731,0.999014496803
81,81,1413393890.055760383606,1413393890.055760383606,2,1,0,0,0,0,0,0,0,0,-1,1200,537,537,0,918,0.765000000000,537,1.487085408899,3.766441288376,1.837943690888,3.122905027933,0.604166666667,0,842,2,nan,nan,0,5.055375000000,0.085839000000,0.003396899439,-0.147258669138,-0.027650376782,-0.006969182286,0.019220765680,-0.038228906691,0.999059855938
82,82,1413393890.105760574341,1413393890.105760574341,2,1,0,0,0,0,0,0,0,0,-1,1202,510,510,0,943,0.784525790349,510,1.605305934876,3.921454751617,1.954226321354,3.135294117647,0.520833333333,0,842,2,nan,nan,0,4.716197000000,0.102242000000,-0.002963666804,-0.185027197003,-0.030078582466,-0.003032951849,0.017980212346,-0.034003917128,0.999255359173
83,83,1413393890.155760288239,1413393890.155760288239,2,1,0,0,0,0,0,0,0,0,-1,1200,452,452,0,907,0.755833333333,452,1.687719860141,4.155987210908,2.046687281494,3.110619469027,0.541666666667,0,842,2,nan,nan,0,4.795825000000,0.079181000000,-0.009260513820,-0.219092577696,-0.031700331718,0.001388851786,0.016249034554,-0.028853980824,0.999450623989
84,84,1413393890.205760478973,1413393890.205760478973,2,1,0,0,0,0,0,0,0,0,-1,1200,769,769,0,901,0.750833333333,769,0.501757290410,3.259139057359,1.125868972086,2.599479843953,0.645833333333,1,842,2,nan,nan,0,4.854909000000,0.134742000000,-0.018178882077,-0.254699140787,-0.032783735543,0.003178798826,0.014795624651,-0.023440860212,0.999610662460
85,85,1413393890.255760431290,1413393890.255760431290,2,1,0,0,0,0,1,0,0,0,-1,1200,653,653,0,910,0.758333333333,653,1.173022748443,2.926443135079,1.485898148353,4.090352220521,0.604166666667,0,998,3,nan,nan,0,7.258359000000,0.104382000000,-0.035517975688,-0.285534381866,-0.025001155213,0.004718784243,0.014572346583,-0.018989488482,0.999702394009
86,86,1413393890.305760622025,1413393890.305760622025,2,1,0,0,0,0,1,0,0,0,-1,1200,590,590,0,875,0.729166666667,590,1.225944308621,2.878273268583,1.550248328245,4.110169491525,0.541666666667,0,998,3,nan,nan,0,5.952973000000,0.093285000000,-0.046976231039,-0.304573744535,-0.020689520985,0.006343826186,0.013537366875,-0.014365169220,0.999785065651
87,87,1413393890.355760335922,1413393890.355760335922,2,1,0,0,0,0,1,0,0,0,-1,1201,576,576,0,879,0.731890091590,576,1.198811453998,3.005580567095,1.528129789211,4.100694444444,0.541666666667,0,998,3,nan,nan,0,5.874652000000,0.091129000000,-0.057546481490,-0.319461613894,-0.016440657899,0.006713280920,0.012551045045,-0.010926630348,0.999839007854
88,88,1413393890.405760526657,1413393890.405760526657,2,1,0,0,0,0,1,0,0,0,-1,1201,540,540,0,881,0.733555370525,540,1.393413889208,3.186891097840,1.705796482864,4.122222222222,0.541666666667,0,998,3,nan,nan,0,5.737131000000,0.087209000000,-0.069422565401,-0.331271648407,-0.008656747639,0.006766804494,0.011620564386,-0.007870870642,0.999878585339
89,89,1413393890.455760478973,1413393890.455760478973,2,1,0,0,0,0,1,0,0,0,-1,1202,820,820,0,897,0.746256239601,820,0.836836214431,2.649117529873,1.129284480841,3.391463414634,0.541666666667,1,998,3,nan,nan,0,6.419773000000,0.113530000000,-0.084573812783,-0.335519701242,0.001325142104,0.010229870677,0.011325047351,-0.004507887643,0.999873399734
90,90,1413393890.505760431290,1413393890.505760431290,2,1,0,0,0,0,2,0,0,0,-1,1201,654,654,0,909,0.756869275604,654,1.138561849737,2.645204740123,1.392262552230,5.458715596330,0.541666666667,0,929,4,nan,nan,0,6.344036000000,0.115476000000,-0.095061898232,-0.335752099752,0.009811647236,0.018813179806,0.009961066768,-0.001781441388,0.999771833420
91,91,1413393890.555760383606,1413393890.555760383606,2,1,0,0,0,0,2,0,0,0,-1,1201,619,619,0,890,0.741049125729,619,1.177896067842,2.866292144531,1.480758535208,5.499192245557,0.604166666667,0,929,4,nan,nan,0,6.532147000000,0.094534000000,-0.106710344553,-0.338927388191,0.018068887293,0.030174840242,0.008848840371,0.000863048423,0.999505102634
92,92,1413393890.605760574341,1413393890.605760574341,2,1,0,0,0,0,2,0,0,0,-1,1201,600,600,0,857,0.713572023314,600,1.176383113716,3.137299704716,1.561763696976,5.458333333333,0.562500000000,0,929,4,nan,nan,0,5.809218000000,0.098107000000,-0.119484141469,-0.342780232430,0.026789113879,0.039375811815,0.009295145981,0.001216469333,0.999180495739
93,93,1413393890.655760288239,1413393890.655760288239,2,1,0,0,0,0,2,0,0,0,-1,1201,544,544,0,815,0.678601165695,544,1.224782454551,3.100978644927,1.587968526851,5.549632352941,0.583333333333,0,929,4,nan,nan,0,6.389693000000,0.092315000000,-0.130870372057,-0.345713406801,0.032541461289,0.040909718722,0.009607113898,0.000102995327,0.999116659164
94,94,1413393890.705760478973,1413393890.705760478973,2,1,0,0,0,0,2,0,0,0,-1,1202,760,760,0,835,0.694675540765,760,0.845315864255,2.617080734116,1.094968165077,4.468421052632,0.625000000000,1,929,4,nan,nan,0,6.732612000000,0.109841000000,-0.142076790333,-0.350679188967,0.035905998200,0.035932548344,0.010153705254,-0.001567633240,0.999301433563
